id,name,doro,old-doro,man_dae,man_so,man2_dae,man2_so,woman,woman2,latitude,longitude
1,삼척해상케이블카 장호역,강원도 삼척시 근덕면 장호항길 12-10,강원도 삼척시 근덕면 장호리 3-9,5,9,1,0,14,1,37.28798444,129.31859
2,용화해수욕장A,강원도 삼척시 근덕면 용화해변1길 48,강원도 삼척시 근덕면 용화리 14-5,2,2,0,0,4,0,37.28929332,129.3061898
3,용화해수욕장B,,강원도 삼척시 근덕면 용화리 259-4,2,2,1,1,4,1,37.29077123,129.3018112
4,장호비치캠핑장,강원도 삼척시 근덕면 삼척로 2116,강원도 삼척시 근덕면 장호리 217-2,2,3,1,1,3,1,37.28456,129.3124077
5,장호주유소(관광랜드),강원도 삼척시 근덕면 삼척로 2154,강원도 삼척시 근덕면 장호리 325,1,2,0,0,2,0,37.2868038,129.3079336
6,장호항 공동화장실('20신축),,강원도 삼척시 근덕면 장호리 40-1,2,3,1,1,5,1,37.28658123,129.3167112
7,장호항 공동화장실1,강원도 삼척시 근덕면 장호항길 136,강원도 삼척시 근덕면 장호리 1-5,1,2,1,1,6,0,37.28929152,129.3183159
8,장호항 공동화장실2,강원도 삼척시 근덕면 장호항길 49,강원도 삼척시 근덕면 장호리 54-7,2,3,0,0,4,0,37.28553542,129.3185666
9,장호항 공동화장실3,강원도 삼척시 근덕면 장호항길 111,강원도 삼척시 근덕면 장호리 3-1,2,3,1,1,3,1,37.28812472,129.3176145
10,장호항 공동화장실4,,강원도 삼척시 근덕면 장호리 287-5번지 인근,2,3,0,1,4,0,37.28706123,129.3147112
11,초곡항 공동화장실1,강원도 삼척시 근덕면 초곡길 236-20,강원도 삼척시 근덕면 초곡리 20-38,3,3,1,1,4,1,37.31051564,129.2948593
12,초곡항 공중화장실2,강원도 삼척시 근덕면 초곡길 280,강원도 삼척시 근덕면 초곡리 20-46,4,4,1,0,8,1,37.31008115,129.2927092
13,해양레일바이크 궁촌역,강원도 삼척시 근덕면 공양왕길 2,강원도 삼척시 근덕면 궁촌리 141-1,4,4,0,0,6,0,37.32364924,129.2663648
14,해양레일바이크 궁촌주차장,강원도 삼척시 근덕면 공양왕길 2,강원도 삼척시 근덕면 궁촌리 141-1,3,2,1,1,5,1,37.32364924,129.2663648
15,해양레일바이크 용화역,강원도 삼척시 근덕면 용화해변길 2,강원도 삼척시 근덕면 용화리 14-5,4,4,0,0,6,0,37.28980728,129.3042512
16,해양레일바이크 용화역 앞,강원도 삼척시 근덕면 용화해변길 2,강원도 삼척시 근덕면 용화리 14-6,1,2,0,0,2,0,37.28980728,129.3042512
17,황영조기념공원,강원도 삼척시 근덕면 초곡길 176,강원도 삼척시 근덕면 초곡리 51,2,4,0,0,3,0,37.30726311,129.2947313
18,하장농협주유소,강원도 삼척시 백두대간로 2681-22,강원도 삼척시 하장면 장전리 84-6,1,1,0,0,1,0,37.35515637,128.9255155
19,하장면사무소,강원도 삼척시 하장면 하장길 126,강원도 삼척시 하장면 광동리 172-3,2,2,1,0,2,1,37.34955108,128.9426089
20,하장보건지소,강원도 삼척시 하장길 110-25,강원도 삼척시 하장면 광동리 179-2,1,1,0,0,1,0,37.3490674,128.9437156
21,하장주유소,강원도 삼척시 하장면 백두대간로 2564,강원도 삼척시 하장면 광동리 153-3,2,2,0,0,2,0,37.35018806,128.9381863
22,노곡면사무소,강원도 삼척시 노곡면 미근로 886,강원도 삼척시 노곡면 하월산리 128-1,3,4,4,0,3,0,37.34799424,129.1643366
23,노곡보건지소,강원도 삼척시 노곡면 미근로 886,강원도 삼척시 노곡면 하월산리 128-1,1,2,0,0,2,0,37.34799424,129.1643366
24,삼척주유할인마트,강원도 삼척시 노곡면 문의재로 2546,강원도 삼척시 노곡면 중마읍리 123-1,2,3,0,0,2,0,37.27240677,129.1785882
25,대성주유소,강원도 삼척시 미로면 강원남부로 3967,강원도 삼척시 미로면 하거노리 255-1,1,2,0,0,1,0,37.41311971,129.1112002
26,미로면사무소,강원도 삼척시 미로면 적병길 8,강원도 삼척시 미로면 하거노리 215-1,1,1,0,0,4,1,37.41814952,129.1126691
27,미로보건지소,강원도 삼척시 적병길 6,강원도 삼척시 미로면 하거노리 215-1,1,1,0,0,1,0,37.41814952,129.1126691
28,미로주유소,강원도 삼척시 미로면 강원남부로 3593,강원도 삼척시 미로면 하정리 125-7,1,2,0,0,1,0,37.39139503,129.1020116
29,삼척미로정원 화장실,,강원도 삼척시 미로면 내미로리 166,5,2,0,0,3,0,37.44422123,129.0710012
30,영경묘,강원도 삼척시 영경로 263,강원도 삼척시 미로면 하사전리 38-9,1,2,1,0,3,1,37.38622406,129.0768256
31,준경묘,강원도 삼척시 미로면 준경길 333-360,강원도 삼척시 미로면 활기리 산 149,2,3,1,0,2,1,37.36705482,129.0592964
32,환선굴휴게소,강원도 삼척시 강원남부로 3969,강원도 삼척시 미로면 하거노리 272,1,1,0,0,1,0,37.41313693,129.1119859
33,가곡면사무소,강원도 삼척시 가곡면 가곡천로 1477,강원도 삼척시 가곡면 오저리 17-5,2,2,0,0,3,0,37.1497693,129.2052022
34,가곡보건지소,강원도 삼척시 가곡면 가곡천로 1455,강원도 삼척시 가곡면 오저리 81-10,1,2,0,0,2,0,37.14771338,129.2058328
35,덕풍계곡화장실,강원도 삼척시 가곡면 덕풍길 44,강원도 삼척시 가곡면 풍곡리463,3,4,1,1,10,1,37.12224157,129.1583678
36,대금굴관광센터,강원도 삼척시 신기면 환선로 843,강원도 삼척시 신기면 대이리 201-2,4,3,0,0,4,0,37.3233012,129.0181018
37,대성엠디아이(주) 삼척주유소,강원도 삼척시 신기면 강원남부로 2620,강원도 삼척시 신기면 마차리 154,1,1,0,0,2,0,37.32139286,129.0765142
38,대이동굴 제2주차장 화장실,,강원도 삼척시 신기면 대이리 224-10,3,9,1,1,6,1,37.32748123,129.0239912
39,대이동굴 제3주차장 화장실,강원도 삼척시 신기면 환선로 800,강원도 삼척시 신기면 대이리 183,3,8,1,1,10,1,37.32610261,129.0209079
